Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,Final concentration,Capacity
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,1.089201878,-4.460093897
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.572769953,10.68075117
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.361502347,7.981220657
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.291079812,5.907668232
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.197183099,5.017605634
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.877934272,6.103286385
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.61971831,9.507042254
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.314553991,8.568075117
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.666666667,2.777777778
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.338028169,4.137323944
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.830985915,8.450704225
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.690140845,7.746478873
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.384976526,7.687793427
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.384976526,5.125195618
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.291079812,4.430751174
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.846153846,7.692307692
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.674208145,8.14479638
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.475113122,6.561085973
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.357466063,5.354449472
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.2760181,4.524886878
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.85520362,7.239819005
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.683257919,7.918552036
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.42081448,7.239819005
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.285067873,5.957767722
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.239819005,4.751131222
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.891402715,5.429864253
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.728506787,6.787330317
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.447963801,6.900452489
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.303167421,5.80693816
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.230769231,4.807692308
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.721342032,13.93289842
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.553588071,11.16029823
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.320596459,8.492544268
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.096456693,7.529527559
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.106299213,5.585629921
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.749301025,12.53494874
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.432432432,14.18918919
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.329916123,8.376048462
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.155511811,7.037401575
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.106299213,5.585629921
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.665424045,16.72879776
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.534948742,11.62628145
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.293569432,8.830382106
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.135826772,7.20144357
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.116141732,5.524114173
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.614566285,19.27168576
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.303600655,17.40998363
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.139934534,10.75081833
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.074468085,7.712765957
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.066284779,5.835720131
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.516366612,24.18166939
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.352700491,16.18248773
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.08,25,0,0,Synthetic,Single,0.172667758,10.34165303
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.066284779,7.780960175
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.16,25,0,0,Synthetic,Single,0.107201309,5.579991817
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.02,25,0,0,Synthetic,Single,0.606382979,19.68085106
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1,7,150,0.025,0.04,25,0,0,Synthetic,Single,0.27086743,18.22831424
